date,open,high,low,close,volume
2024-07-09,11.8,13.07,8.84,10.17,838732
2024-07-10,8.06,8.425,6.9,7.3,130690
2024-07-11,7.48,8.2,6.9,7.12,56873
2024-07-12,6.74,9.9,6.74,7.63,132890
2024-07-15,7.24,9.8,6.5923,9.58,116778
2024-07-16,8.88,11.42,8.3,10,67066
2024-07-17,11.41,27.9899,10.345,24.47,5004735.0
2024-07-18,24.9,28.38,19.02,20.68,844702
2024-07-19,18.52,19.0799,15.45,15.9,213475
2024-07-22,16.59,18.93,14.77,14.77,132398
2024-07-23,15.875,16.098,13.28,13.34,76715
2024-07-24,14.67,15.5,12.5001,13.29,76277
2024-07-25,13.5,13.75,12.73,13.57,77569
2024-07-26,13.81,17,13.12,13.12,225542
2024-07-29,13.58,14.94,12,12.32,95302
2024-07-30,11.97,12.79,11.23,11.82,93820
2024-07-31,12.39,17.62,11.85,14.9,388634
2024-08-01,14.75,16.36,13.34,14.98,298873
2024-08-02,15,15.62,13.78,15.09,76119
2024-08-05,13.51,13.965,11.215,11.82,100652
2024-08-06,13,13.49,11.4001,11.72,66942
2024-08-07,11.69,13,11.66,12.49,60372
2024-08-08,11.72,12.85,11.72,12.71,69431
2024-08-09,12.5,13.12,11.76,12.9,51442
2024-08-12,11.66,12.01,8.75,8.85,94329
2024-08-13,9.35,10.48,9,10.12,68691
2024-08-14,10,10.44,9.85,9.92,36486
2024-08-15,9.9,10.23,8.992,9.45,21681
2024-08-16,9.36,9.6,8.6,9,66064
2024-08-19,8.9,9.49,8.64,8.92,28171
2024-08-20,8.86,9.5,8.86,9.2,26343
2024-08-21,9.12,10.3599,8.7001,10.08,43131
2024-08-22,9.88,9.91,9.49,9.65,20171
2024-08-23,9.5,9.5,8.5,8.86,16108
2024-08-26,8.87,8.89,7.52,8.01,75644
2024-08-27,7.99,9.02,7.99,8.77,65376
2024-08-28,8.67,9.23,8.6,8.81,26712
2024-08-29,8.52,8.98,8.52,8.68,3867
2024-08-30,8.72,8.97,8.46,8.65,19338
2024-09-03,8.25,8.515,8.04,8.13,7079
2024-09-04,8.22,8.595,8.07,8.29,36479
2024-09-05,8.17,8.445,7.53,8.09,19197
2024-09-06,7.49,7.86,6.6,6.93,29096
2024-09-09,7.21,8.5,7.21,7.93,52923
2024-09-10,8,9.99,7.2,9.16,36301
2024-09-11,9.25,10,9.25,10,34220
2024-09-12,9.52,12.14,9.148,10.17,70066
2024-09-13,9.76,11.5,9.74,10.61,29367
2024-09-16,10.79,12.1,10.66,11.62,107498
2024-09-17,11.61,12.5,11.61,12.43,44306
2024-09-18,12.15,12.25,11.17,11.63,48448
2024-09-19,11.4,11.98,10.01,11.67,131477
2024-09-20,11.67,12.56,11.135,12.51,436128
2024-09-23,12.37,12.406744,11.12,11.47,44652
2024-09-24,11.52,11.71,11.41,11.56,13199
2024-09-25,11.46,11.46,10.63,10.63,18784
2024-09-26,10.17,11.42,10.17,10.6,41434
2024-09-27,10.67,10.7,9.2,9.65,39708
2024-09-30,9.66,9.66,7.8,8.14,61680
2024-10-01,8.28,8.34,7.41,7.41,16981
2024-10-02,7.51,7.5666,7,7.16,42454
2024-10-03,8.25,8.25,7.37,7.95,124517
2024-10-04,8.09,8.3045,7.74,7.85,48822
2024-10-07,8.03,10.12,8.01,8.9,193828
2024-10-08,8.41,9.13,8.41,8.97,34917
2024-10-09,9.19,9.19,8.7021,8.87,30453
2024-10-10,8.84,9,8.57,8.7,21827
2024-10-11,8.7,8.7173,7.83,8,26016
2024-10-14,8.36,8.37,6.79,7.16,102682
2024-10-15,7.47,7.95,7.25,7.88,68581
2024-10-16,8,8,7.64,7.92,17767
2024-10-17,7.625,8.3,7.5,7.54,47383
2024-10-18,7.46,7.7,7.46,7.7,16796
2024-10-21,7.65,7.65,7.35,7.5,28400
2024-10-22,7.31,7.5099,7.21,7.39,34047
2024-10-23,7.54,7.575,7.2766,7.5,22636
2024-10-24,7.33,7.5,7.33,7.5,18210
2024-10-25,7.4,7.6,7.3229,7.5,7919
2024-10-28,7.69,7.98,7.31,7.7,27581
2024-10-29,7.7,7.7588,7.43,7.5,15659
2024-10-30,7.7262,7.75,7.35,7.65,53764
2024-10-31,7.6,7.62,7.48,7.56,9121
2024-11-01,7.6,7.85,7.3,7.44,21374
2024-11-04,7.44,7.7199,7.17,7.6,67940
2024-11-05,7.61,7.7,7.19,7.46,96227
2024-11-06,7.59,7.6,7.32,7.6,16458
2024-11-07,7.6,7.65,7.5,7.59,26670
2024-11-08,7.32,7.6,7.14,7.6,67922
2024-11-11,7.46,7.71,7.38,7.71,7753
2024-11-12,7.51,7.8,7.5006,7.66,8464
2024-11-13,7.97,7.97,7.5418,7.68,17386
2024-11-14,7.97,7.97,7.11,7.44,8140
2024-11-15,7.38,7.38,6.64,6.93,25114
2024-11-18,6.58,6.9611,6.58,6.81,5306
2024-11-19,6.8,7,6.8,6.94,17519
2024-11-20,7,7.35,6.665,6.74,13852
2024-11-21,6.96,7.4999,6.91,7.04,13994
2024-11-22,6.91,7,6.75,6.8,9318
2024-11-25,6.98,7,6.737,6.86,15347
2024-11-26,6.7,6.99,6.64,6.91,8315
2024-11-27,7,7,6.66,6.79,6370
2024-11-29,6.96,6.96,6.65,6.65,11182
2024-12-02,6.53,6.9,6.3271,6.83,27161
2024-12-03,6.7,6.87,6.44,6.75,18905
2024-12-04,6.58,6.7032,6.51,6.52,13801
2024-12-05,6.55,6.7606,6.5,6.65,26819
2024-12-06,6.53,6.91,6.41,6.88,9530
2024-12-09,6.8218,7.025,6.61,6.75,10721
2024-12-10,6.89,6.89,6.41,6.41,31373
2024-12-11,6.33,6.34,5.85,6.01,11484
2024-12-12,5.72,6.15,5.21,5.485,32819
2024-12-13,5.2,6.09,5.12,5.33,12922
2024-12-16,5.34,5.7052,5.23,5.26,14929
2024-12-17,5.52,5.52,4.9,4.9,25246
2024-12-18,5.1,5.3262,4.73,4.88,18059
2024-12-19,5.08,5.15,4.62,4.62,10796
2024-12-20,4.63,4.7911,4.13,4.5,18333
2024-12-23,4.3201,4.49,4.32,4.49,8384
2024-12-24,4.76,4.99,4.315,4.45,92877
2024-12-26,4.4994,4.88,4.35,4.73,32740
2024-12-27,4.66,4.68,4.48,4.55,16139
2024-12-30,5.41,5.5,4.03,4.51,1017904.0
2024-12-31,4.51,4.68,3.53,3.58,239139
2025-01-02,4.09,4.09,3.58,3.67,72264
